Feature,Coefficient,Abs_Coefficient
gender_male,13.064883856179087,13.064883856179087
race/ethnicity_group E,4.892648955919748,4.892648955919748
lunch_standard,3.5100748894192195,3.5100748894192195
test preparation course_none,3.289642361913279,3.289642361913279
parental level of education_master's degree,-1.40048883644104,1.40048883644104
parental level of education_some college,0.9988561468954249,0.9988561468954249
parental level of education_high school,0.9293122680358362,0.9293122680358362
parental level of education_some high school,0.7564701614281344,0.7564701614281344
writing score,0.7241479345599134,0.7241479345599134
parental level of education_bachelor's degree,-0.7169011299998389,0.7169011299998389
race/ethnicity_group C,-0.6256171537872619,0.6256171537872619
race/ethnicity_group D,-0.6132362404202042,0.6132362404202042
race/ethnicity_group B,0.3593227983199021,0.3593227983199021
reading score,0.2360225617853442,0.2360225617853442
