Feature,Importance
writing score,0.2849857
gender_male,0.21139653
reading score,0.20051968
lunch_standard,0.10516021
race/ethnicity_group E,0.047094118
parental level of education_some college,0.028127844
race/ethnicity_group B,0.020292914
parental level of education_high school,0.01910904
parental level of education_some high school,0.018602751
race/ethnicity_group C,0.018396597
race/ethnicity_group D,0.017861553
parental level of education_master's degree,0.015239516
parental level of education_bachelor's degree,0.013213554
test preparation course_none,0.0
